Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
The human body's largest organ is the ______.,medium,Skin,Skin,Liver,Heart,Brain
Which heart chamber receives deoxygenated blood from the body?,medium,Right atrium,Right atrium,Left atrium,Right ventricle,Left ventricle
"Identify the object of the Lekki Massacre, which occurred in ______.",hard,Lagos,Lagos,Kano,Abuja,Onitsha
Which Nollywood actress starred in 'Isoken'?,medium,Dakore Egbuson,Dakore Egbuson,Adesua Etomi,Funke Akindele,Chioma Chukwuka
_______ is hailed as the 'African Giant' for his significant contributions to music.,easy,Burna Boy,Burna Boy,Wizkid,Davido,Mr Eazi
What event marked the key turning point in the end of colonial rule in Nigeria?,medium,Independence Day,Independence Day,Republic Day,Treaty of Niger,Amalgamation Act
"Nigeria's major international airport, Murtala Muhammed Airport, is located in ______.",easy,Lagos,Lagos,Abuja,Kano,Port Harcourt
Which Nigerian playwright won the Nobel Prize for Literature?,medium,Wole Soyinka,Wole Soyinka,Chinua Achebe,Buchi Emecheta,Christopher Okigbo
Lupita Nyong'o starred in which acclaimed film based on Nigerian history?,hard,12 Years a Slave,12 Years a Slave,Half of a Yellow Sun,Black Panther,Queen of Katwe
Chimamanda Ngozi Adichie wrote a renowned essay titled ______.,medium,We Should All Be Feminists,We Should All Be Feminists,The Danger of a Single Story,Why I Write,Celebrating Women's Stories
The Nigerian city that is famous for its red earth and ancient walls is ______.,medium,Benin City,Benin City,Lagos,Kano,Zaria
Author Helon Habila is best known for his novel titled ______.,hard,Waiting for an Angel,Waiting for an Angel,Born on a Tuesday,Purple Hibiscus,Anthills of the Savannah
The indispensable role of red blood cells in the human body is to _____,easy,Transport oxygen,Transport oxygen,Produce hormones,Digest food,Clot blood
Tiwa Savage signed a global music contract with which iconic label?,medium,Universal Music Group,Universal Music Group,Sony Music,Atlantic Records,Def Jam
Nigerian Banky W is not only a singer but also starred in which popular Nollywood film?,medium,The Wedding Party,The Wedding Party,Lionheart,October 1,King of Boys
Which Nigerian actor played in '12 Years a Slave'?,medium,Chiwetel Ejiofor,Chiwetel Ejiofor,John Boyega,Hakeem Kae-Kazim,David Oyelowo
The Yauri Kingdom was located in which part of Nigeria?,hard,Northwest,Northwest,Southeast,Southwest,Northeast
Who is the Nigerian legend that became famous for the highlife hit 'Sweet Mother'?,medium,Prince Nico Mbarga,Prince Nico Mbarga,Felix Liberty,Osita Osadebe,Eddy Grant
Who was Nigeria's first Minister of Defence following independence?,hard,Alhaji Muhammadu Ribadu,Theophilus Danjuma,General Gowon,Alhaji Muhammadu Ribadu,Murtala Muhammed
The function of insulin in the human body is to ______.,medium,Regulate blood sugar,Regulate blood sugar,Digest food,Transport oxygen,Clot blood
Zik's presidential campaign in a post-colonial Nigeria was symbolic of _____,hard,National unity,National unity,Regionalism,Colonial allegiance,Independence struggle
The Yankee-doodle Awolowo was infamously known for his role during the ______.,medium,Biafran War,Biafran War,Kenyan independence,Ghana's democracy,Sudanese conflict
"Nollywood actor, Ramsey Nouah, gained massive fame after his role in ______.",medium,30 Days in Atlanta,Living in Bondage,Isoken,The Figurine,30 Days in Atlanta
The shoulder blade is also known as the?,easy,A,A. Scapula,B. Femur,C. Radius,D. Ulna
"In Nollywood, who is popularly known as 'Mama G'?",easy,B,A. Omotola Jalade Ekeinde,B. Patience Ozokwor,C. Genevieve Nnaji,D. Rita Dominic
Which Nigerian movie star is known for her role in the film 'Lionheart'?,medium,C,A. Funke Akindele,B. Ini Edo,C. Genevieve Nnaji,D. Mercy Johnson
Fill in the blank: The traditional ruler historically seen as the spiritual and cultural leader of the Yoruba people is known as the _____ of Ife.,medium,B,A. Emir,B. Oba,C. Sultan,D. Igwe
Which leg bone is recognized as the largest bone in the human body?,medium,C,A. Tibia,B. Fibula,C. Femur,D. Patella
Yemi Alade gained fame with which hit song?,easy,A,A. Johnny,B. Joromi,C. Shekere,D. Ferrari
The first military coup in Nigeria took place in which year?,hard,B,A. 1963,B. 1966,C. 1970,D. 1975
Lagos was the capital of Nigeria until what year?,medium,A,A. 1991,B. 1983,C. 1976,D. 2000
Tiwa Savage is known for her hit song?,easy,A,A. All Over,B. Aye,C. Ojuelegba,D. Pana
The amalgamation of the Northern and Southern Protectorates in Nigeria happened in which year?,medium,A,A. 1914,B. 1921,C. 1930,D. 1900
Genevieve Nnaji became the first Nigerian actor to star in a Netflix original with which movie?,hard,A,A. Lionheart,B. Road to Yesterday,C. Ije,D. Half of a Yellow Sun
"The Nigerian Civil War, also known as the Biafran War, occurred between which years?",hard,A,A. 1967-1970,B. 1965-1968,C. 1972-1975,D. 1956-1959
Wizkid's first international hit single was titled?,medium,A,A. Ojuelegba,B. Fever,C. Essence,D. Holla at Your Boy
What empire was located in present-day Nigeria before colonial rule?,hard,D,A. Ghana Empire,B. Mali Empire,C. Songhai Empire,D. Oyo Empire
The optic nerve is associated with which sense?,medium,C,A. Taste,B. Hearing,C. Sight,D. Touch
"Who sang the hit 'Fall', which gained international recognition?",easy,A,A. Davido,B. Burna Boy,C. Wizkid,D. Rema
Queen Amina is a historical figure associated with which Nigerian kingdom?,medium,B,A. Benin,B. Zazzau,C. Ife,D. Sokoto
Which muscle is responsible for breathing and separating the chest cavity from the abdominal cavity?,medium,B,A. Intercostal,B. Diaphragm,C. Pectoralis,D. Abdominis
Who is known as the 'Queen of Afro-beat'?,medium,A,A. Tiwa Savage,B. Yemi Alade,C. Femi Kuti,D. Simi
Which year marked the end of colonial rule in Nigeria?,medium,B,A. 1957,B. 1960,C. 1963,D. 1965
What type of cells are primarily involved in the body's immune response?,medium,B,A. Red blood cells,B. White blood cells,C. Platelets,D. Neurons
Who is the governor of Ekiti that was announced as the host for the 2020 Best of Nollywood Awards?,easy,B,A. Nasir El-Rufai,B. Kayode Fayemi,C. Babajide Sanwo-Olu,D. Rotimi Akeredolu
Complete this line: Davido: 'I'm free-spirited — not rebellious like Burna Boy or _____.',medium,C,A. Wizkid,B. Tiwa Savage,C. Rudeboy,D. Don Jazzy
Which Nigerian reality star is returning to school for an MBA?,easy,B,A. Tacha Akide,B. Mercy Eke,C. Cee-C,D. Bisola Aiyeola
Identify the Nollywood actress who denied rumors of welcoming a second child.,easy,C,A. Genevieve Nnaji,B. Ini Edo,C. Yetunde Barnabas,D. Omotola Jalade
What do the names Davido and Burna Boy have in common with Nigerian pop culture?,medium,C,A. They are fashion designers,B. They are gospel singers,C. They are Afrobeats artists,D. They are politicians
Gospel singer Steve Crown announced a significant personal event. What is it?,easy,D,A. Having a baby,B. Starting a tour,C. Releasing a new album,D. Wedding date
Which event did Obasanjo dazzle at while the Egba people celebrated culture?,medium,A,A. Lisabi Festival,B. Ofala Festival,C. Eyo Festival,D. Durban Festival
"Fill in the blank: 'Nigerians are _____,' — Eedris hits Seyi Tinubu.",medium,D,A. happy,B. celebrating,C. angry,D. suffering
Which university's students are sponsored by singer Kelly Anthony for their first-year education?,easy,B,A. UNILAG,B. UNIBEN,C. UI,D. ABU
Echoes Jam winners are set to debut at which game event?,hard,C,A. Abuja Games Festival,B. Eko Atlantic Expo,C. Lagos Games Week,D. Calabar Carnival
Osun’s Joy Raimi crowned what title in 2025?,easy,B,A. Miss Universe Nigeria 2025,B. Miss World Nigeria 2025,C. Miss Africa Nigeria 2025,D. Miss Nigeria 2025
Which Nigerian artist was among the TCL’s celebrity fashion picks in early April 2025?,medium,C,A. Wizkid,B. Tiwa Savage,C. Kizz Daniel,D. Burna Boy
Nnegest’s ‘Phat Girlz’ is associated with the introduction of which music genre?,medium,C,A. Hip Hop,B. Highlife,C. Afrobeats,D. Juju
Fani-Kayode was seen preaching and doing what in an Abuja church?,hard,C,A. Singing,B. Dancing,C. Laying hands on worshippers,D. Reading scriptures
Who was selected to host the 2020 Best of Nollywood Awards?,easy,B,A. Olusegun Obasanjo,B. Kayode Fayemi,C. Goodluck Jonathan,D. Muhammadu Buhari
Fill in the blank: “Dermatologist: Why you should avoid _____ your lips too often.”,easy,B,A. Biting,B. Licking,C. Piercing,D. Exfoliating
"In 2025, which state did Joy Raimi represent at Miss World Nigeria?",medium,C,A. Ogun,B. Lagos,C. Osun,D. Oyo
Complete the title: “Living With: Trials and Triumphs of _____ Warrior Ibukunoluwa.”,medium,A,A. Sickle Cell,B. Cancer,C. Malaria,D. HIV
What cultural event did Obasanjo participate in celebration at Lisabi?,hard,C,A. Oduduwa Festival,B. Eyo Festival,C. Egba Culture Festival,D. New Yam Festival
"In anatomy, what is the function of the heart?",easy,B,A. Filtering blood,B. Pumping blood,C. Producing insulin,D. Store minerals
Who was lauded in TCL’s celebrity fashion picks of March 2025 alongside Ini Edo?,medium,C,A. Davido,B. Ighodaro,C. Iyabo Ojo,D. Yemi Alade
What year marked the 19th anniversary of 'Phat Girlz' introduction of Afrobeats?,hard,C,A. 2020,B. 2024,C. 2025,D. 2023
Governor Fayemi was visited by the Best of Nollywood team in 2020 to do what?,medium,C,A. Interview him,B. Attend a meeting,C. Present hosting rights,D. Promote a movie
How many options are given for each trivia question?,easy,B,A. 2,B. 4,C. 3,D. 5
What is the primary function of kidneys in the human body?,medium,C,A. Produce bile,B. Secrete hormones,C. Filter waste from blood,D. Store calcium
Which famous Nigerian attended the Egba culture event at Lisabi?,easy,C,A. Tonto Dike,B. Ighodaro,C. Olusegun Obasanjo,D. Goodluck Jonathan
Choose the odd one out related to Nigerian pop culture.,medium,B,A. Afrobeats,B. Bollywood,C. Nollywood,D. Highlife
The lung’s primary responsibility is?,easy,B,A. Pumping blood,B. Breathing,C. Digesting food,D. Balancing pH
Finish the statement: Makeup artist jailed in Kano for ____,hard,B,A. Stealing,B. Spraying naira notes,C. Evading tax,D. Disturbing peace
Nnegest’s ‘Phat Girlz’ contributed to what musical movement?,medium,A,A. Afropop,B. Reggae,C. Jazz,D. Classical
Why is licking lips too often discouraged according to dermatologists?,easy,B,A. Causes infections,B. Leads to dryness,C. Expensive dental bills,D. Increases allergies
Fani-Kayode was seen performing which religious activity?,hard,C,A. Baptizing,B. Exorcising,C. Preaching,D. Singing
The bones in the human arm include which of the following?,medium,B,A. Femur,B. Radius,C. Patella,D. Tibia
What annual event was Fayemi announced to host in 2020?,medium,C,A. AMVCA,B. The Headies,C. Best of Nollywood Awards,D. Nigerian Music Awards
"In March 2025, what seemed to be turning into a hotspot for hookups?",hard,C,A. Clubs,B. Parks,C. Lagos gyms,D. Churches
True or False: Osun’s Joy Raimi was crowned Miss World Nigeria in 2025.,easy,A,A. True,B. False,,
"Identify the musician from the list: Davido, Wizkid, Tiwa Savage, Phyno.",medium,D,A. Tonto Dike,B. Ighodaro,C. May Edochie,D. None
Which of these is primarily responsible for detoxification in the human body?,medium,A,A. Liver,B. Pancreas,C. Heart,D. Lungs
When was the 2020 Best of Nollywood Awards held?,hard,A,A. December 5,B. November 5,C. January 15,D. May 10
Complete the sentence: “Governor of Ekiti announced as _____ for the best of Nollywood Awards.”,easy,B,A. Guest,B. Host,C. Director,D. Performer
The primary role of red blood cells is to?,medium,B,A. Fight infections,B. Carry oxygen,C. Clot blood,D. Produce antibodies
"Ighodaro, Tonto, and May Edochie were highlighted for what in April 2025?",easy,C,A. Acting,B. Dancing,C. Fashion,D. Singing
Name the event where Joy Raimi was crowned in 2025.,medium,B,A. Miss Nigeria,B. Miss World Nigeria,C. Most Beautiful Girl in Nigeria,D. Miss Universe Nigeria
Governor Kayode Fayemi received the hosting rights for which event in 2020?,hard,B,A. Nigerian Fashion Week,B. Best of Nollywood Awards,C. Lagos Film Festival,D. Abuja Music Awards
The process of breathing involves which body organ?,easy,C,A. Heart,B. Liver,C. Lungs,D. Stomach
Obasanjo was seen celebrating which cultural heritage at Lisabi?,medium,A,A. Yoruba,B. Igbo,C. Hausa,D. Tiv
What activity led to the imprisonment of a makeup artist in Kano?,hard,A,A. Spraying naira notes,B. Smuggling,C. Assault,D. Fraud
Fill the gap: Living with trials and triumphs of a ____ warrior Ibukunoluwa.,easy,C,A. Malaria,B. HIV,C. Sickle Cell,D. Diabetes
"Identify the odd one of the following diseases: HIV, Malaria, Cancer, Hypertension.",medium,B,A. HIV,B. Malaria,C. Sickle Cell,D. Hypertension
Nnegest’s ‘Phat Girlz’ movie is associated with which music genre?,medium,A,A. Afrobeats,B. Blues,C. Rock,D. Jazz
What percent of questions must be about history?,easy,B,A. 10%,B. 30%,C. 50%,D. 60%
True or False: Fayemi was set to host the Best of Nollywood Awards in 2020.,easy,A,A. True,B. False,,
Why should you avoid licking your lips as per a dermatologist?,medium,C,A. Causes infections,B. Makes lips pink,C. Leads to chapped lips,D. It's attractive
"Complete the sequence: Kizz Daniel, Ini Edo, Iyabo Ojo, ...",easy,B,A. Olusegun Obasanjo,B. Tonto Dike,C. Fani-Kayode,D. Femi Otedola
The primary function of the human brain is to?,medium,C,A. Pump blood,B. Digest food,C. Control body functions,D. Filter toxins
Which state’s culture was celebrated by Obasanjo at Lisabi?,hard,C,A. Lagos,B. Osun,C. Ogun,D. Ekiti
"In 2020, the Best of Nollywood Awards were hosted by?",easy,C,A. Lagos State,B. Abuja,C. Ekiti State,D. Kano State
Which part of the body is responsible for producing insulin?,medium,B,A. Liver,B. Pancreas,C. Lungs,D. Kidney
Which event did Kayode Fayemi receive the official hosting rights plaque for?,hard,D,A. Nigerian Sports Awards,B. Lagos Book Fest,C. Nollywood Festival,D. Best of Nollywood Awards
Which Nigerian music genre was highlighted by Nnegest’s ‘Phat Girlz’ movie?,medium,C,A. Fuji,B. Highlife,C. Afrobeats,D. R&B
Burna Boy is famously known as the African Giant. He hails from which country?,easy,D,A. Ghana,B. Kenya,C. South Africa,D. Nigeria
Fill in the blank: The first Nigerian film to feature sound was _____ by Wole Soyinka.,medium,A,A. Kongi’s Harvest,B. Things Fall Apart,C. Ija Ominira,D. Sango
"In Nigerian pop culture, 2Baba was part of which famous boy band?",easy,C,A. Style Plus,B. The Remedies,C. Plantashun Boiz,D. PSquare
What was the primary occupation of the Benin Kingdom before colonization?,medium,B,A. Agriculture,B. Warfare,C. Trading,D. Fishing
Fill in the gap: Wizkid's breakout song 'Holla at Your Boy' was released in which year?,medium,A,A. 2010,B. 2013,C. 2009,D. 2011
Olamide is known for primarily rapping in which language?,easy,B,A. English,B. Yoruba,C. Igbo,D. Hausa
"During the civil war, which part of Nigeria attempted to secede and declare independence?",medium,C,A. Western Nigeria,B. Northern Nigeria,C. Eastern Nigeria,D. Southern Nigeria
What is the prominent feature of Nollywood movies?,medium,D,A. High-budget visual effects,B. Family-centric plots,C. Short film length,D. Fast production time
Which artist released the album 'African Queen'?,easy,A,A. 2Baba,B. D'banj,C. Wizkid,D. Patoranking
"Who won the Nigerian presidential election in 1993, known for the slogan 'Hope '93'?",hard,D,A. Olusegun Obasanjo,B. Goodluck Jonathan,C. Muhammadu Buhari,D. Moshood Abiola
"Nollywood actress Genevieve Nnaji starred in the 2018 film _____, which was acquired by Netflix.",medium,B,A. October 1,B. Lionheart,C. Half of a Yellow Sun,D. Emoé
The skeletal muscle is under which type of control?,easy,A,A. Voluntary,B. Involuntary,C. Autonomous,D. Semi-autonomous
Fill in the blank: The amalgamation of Nigeria was in the year _____.,medium,C,A. 1960,B. 1900,C. 1914,D. 1945
EbonyLife TV is owned by which Nigerian media mogul?,medium,B,A. John Momoh,B. Mo Abudu,C. Raymond Dokpesi,D. Ben Murray-Bruce
Fill in the blank: Afrobeats star ______ is known for hits like 'Fall' and 'If'.,easy,A,Davido,Wizkid,Burna Boy,Tiwa Savage
Nollywood movie 'Living in Bondage' was released in what year?,medium,A,1992,1995,1998,2000
Complete the phrase: Famous Nigerian singer ______ is also known as the African Giant.,easy,A,Burna Boy,Davido,Kizz Daniel,Olamide
Nollywood actress Funke Akindele gained fame with which TV show?,easy,A,Jenifa's Diary,Tinsel,Super Story,Lekki Wives
The Nigerian civil war took place between which years?,medium,A,1967-1970,1963-1966,1970-1973,1959-1962
What is the function of the human femur bone?,medium,A,Support weight,Pump blood,Filter blood,Transmit nerve signals
Fela Kuti is often associated with which music genre?,easy,A,Afrobeat,Hip Hop,Reggae,Highlife
Tunde Kelani is best known for his work in which field?,easy,A,Directing,Acting,Production,Music
Which Nigerian state was the first to be created in 1967?,medium,A,Lagos,Rivers,Kano,Enugu
"Anatomically, where in the body would you find alveoli?",medium,A,Lungs,Heart,Brain,Liver
The song 'Oliver Twist' became a global hit for which artist?,easy,A,D'banj,P-Square,Wizkid,2Baba
Genevieve Nnaji starred in which critically acclaimed movie that was submitted for an Oscar?,medium,A,Lionheart,Half of a Yellow Sun,October 1,The Figurine
What does Femi Otedola's business primarily deal with?,medium,A,Oil,Telecommunication,Entertainment,Hospitality
Fill in the blank: The song 'Joro' is a hit by Nigerian artist ______.,easy,A,Wizkid,Davido,Fireboy DML,Joeboy
Complete this historical statement: The Sokoto Caliphate was founded in what century?,medium,A,19th century,18th century,17th century,16th century
Which artist is also known for the song 'Essence' featuring Tems?,easy,A,Wizkid,Burna Boy,Davido,Olamide
Tiwa Savage once signed a record deal with which international label?,hard,A,Roc Nation,Sony Music,Universal,Def Jam
Which part of the brain is responsible for voluntary muscle movements?,hard,B,Cerebellum,Cerebrum,Brain Stem,Hippocampus
What major event marked Nigeria in 1960?,easy,A,Independence,Civil War,Military Coup,Colonial Rule
Olamide is best known for being an artist in what music genre?,easy,A,Rap,Afrobeat,Reggae,Jazz
Jos is known for being a major city in which Nigerian state?,medium,A,Plateau,Kaduna,Kano,Benue
The epic film 'King of Boys' was directed by which filmmaker?,medium,A,Kemi Adetiba,Kunle Afolayan,Tunde Kelani,Chinonye Chukwu
Which anatomical system does the trachea belong to?,medium,A,Respiratory,Circulatory,Digestive,Nervous
Burna Boy's album 'Twice as Tall' was produced by which international icon?,medium,A,Diddy,Jay-Z,Beyoncé,Rihanna
Which historical figure is associated with the Arochukwu Long Juju?,hard,A,Jaja of Opobo,Nana of Itsekiri,Nwokolo,Sango
What is one function of the kidneys in the human body?,medium,A,Filter waste,Produce insulin,Store glycogen,Absorb fats
In which year was Nigeria declared a republic?,hard,A,1963,1960,1979,1985
Which Nigerian rapper coined the phrase 'Eyan Mayweather'?,easy,A,Olamide,MI Abaga,Ice Prince,Phyno
Chimamanda Ngozi Adichie's book 'Half of a Yellow Sun' is set during which conflict?,medium,A,Nigerian Civil War,World War II,Zulu War,Mau Mau Uprising
Which Nollywood movie gained international recognition on Netflix in 2020?,medium,A,Citation,Lionheart,October 1,Living in Bondage
What's the name of the large artery that carries blood away from the heart?,medium,A,Aorta,Vena cava,Pulmonary artery,Coronary artery
Which artist released the song 'Jaho'?,easy,A,Kizz Daniel,Davido,Wizkid,Burna Boy
Obafemi Awolowo was the leader of which Nigerian region?,medium,A,Western,Northern,Eastern,Southern
In what year did Nigeria experience a civil war?,medium,A,1967,1960,1975,1980
Genevieve Nnaji directed which Netflix original movie?,medium,A,Lionheart,Fifty,Chief Daddy,King of Boys
Which song by Tekno was a major hit in 2016?,easy,A,Pana,Fall,On the Low,Ojuelegba
The Benin Empire was famous for which kind of art?,medium,A,Bronze Castings,Wood Carving,Pottery,Weaving
Which artist performed the song 'Godwin'?,easy,A,Korede Bello,Wande Coal,Reekado Banks,Don Jazzy
Zikism is associated with which Nigerian leader?,hard,A,Nnamdi Azikiwe,Chinua Achebe,Ahmadu Bello,Abubakar Tafawa Balewa
Where in the human body is urea produced?,medium,A,Liver,Kidneys,Heart,Brain
"Which artist's debut album was titled 'Laughter, Tears and Goosebumps'?",medium,A,Fireboy DML,Rema,Joeboy,Burna Boy
"In Nigeria's history, what was the Aba Women’s Riot in response to?",hard,A,Taxation,Education policy,Land seizure,Employment rights
Where in the anatomy would you find the smallest bones in the human body?,medium,A,Ear,Eye,Hand,Foot
Fill in the blank: Wizkid's real name is ______ Balogun.,medium,A,Ayodeji,Ibrahim,Michael,Olamide
The famous play 'Death and the King's Horseman' was written by which Nigerian playwright?,hard,A,Wole Soyinka,Chinua Achebe,Femi Osofisan,Ngozi Adichie
Which seminal album by Asa includes the track 'Jailer'?,medium,A,Asa,Beautiful Imperfection,Lucid,Bed of Stone
What does the hormone insulin regulate?,easy,A,Blood sugar,Blood pressure,Body temperature,Heart rate
Which movie featured actor Ramsey Nouah as a returning ghost?,medium,A,Living in Bondage,The Figurine,Black November,The Wedding Party
What event did Nigeria's 'The Labour Act of 1974' primarily address?,hard,A,Employee rights,Public holidays,Child labor,Health services
Wizkid's track 'Fever' featured which popular actress in its music video?,medium,A,Tiwa Savage,Genevieve Nnaji,Funke Akindele,Rita Dominic
Which muscle is known as the strongest in the human body based on its size?,medium,A,Masseter,Biceps,Heart,Deltoid
The Battle of Kiriji took place in which part of Nigeria?,hard,A,Southwest,Northwest,Southeast,Northeast
The Nigerian singer known for the songs 'Sade' and 'Orente' is?,easy,A,Adekunle Gold,Kizz Daniel,Teni,Patoranking
Complete the national motto of Nigeria: 'Unity and ______'.,medium,A,Faith,Strength,Peace,Harmony
What primary vaccine was Jonas Salk known for developing?,hard,A,Polio,Measles,Hepatitis,Malaria
The Nigerian traditional rapper Popularly known as Phyno is from which part of the country?,easy,A,Southeast,Southwest,North,South
The Trans-Atlantic slave trade was abolished in Nigeria in which century?,medium,A,19th century,18th century,20th century,17th century
The 'Egusi Soup' actress stars in which popular streaming platform's original titles?,easy,A,Netflix,Hulu,Amazon Prime,Disney+
Ramsey Nouah won Best Actor at the 2009 Best of Nollywood Awards. Who won Best Actress?,easy,Ini Edo,Ini Edo,Rita Dominic,Omotola Jalade,Bhaira McNwizu
The first Best of Nollywood Awards took place in which year?,easy,2009,2005,2008,2009,2012
"Martinos Hotel, located in which Nigerian city, hosted the 2009 Best of Nollywood Awards?",medium,Ikeja,Abuja,Ikeja,Ibadan,Port Harcourt
Which magazine organized the first Best of Nollywood Awards?,medium,Best of Nollywood Magazine,Nigeria Screen,Nollywood Vogue,Best of Nollywood Magazine,Movie Monthly
"Ini Edo, who won Best Actress in 2009, is from which industry?",easy,Nollywood,Nollywood,Kannywood,Hollywood,Bollywood
Identify the director who won at the 2009 Best of Nollywood Awards.,medium,Izu Ojukwu,Izu Ojukwu,Kunle Afolayan,Chinny Onwugbenu,Lancelot Imasuen
"Nigerian movie industry is celebrated by which event, first held in 2009?",easy,Best of Nollywood Awards,Best of Nollywood Awards,Nollywood Film Fest,Nigeria Movie Oscars,Lagos Film Gala
In which category did Yemi Blaq receive a nomination in the 2009 Best of Nollywood Awards?,medium,Best Actor,Best Actor,Best Supporting Actor,Best Director,Best Newcomer
Which of these actresses was not nominated for Best Actress in 2009?,hard,Genevieve Nnaji,Rita Dominic,Omotola Jalade,Genevieve Nnaji,Portia Yamaha
2009 Best of Nollywood Awards marked its achievement in which sector?,easy,Nigerian film,Nigerian music,Nigerian cuisine,Nigerian film,Nigerian literature
Who among the following was a nominee for Best Actor in a lead role in English at the 2009 Best of Nollywood Awards?,medium,Mike Ezuruonye,Mike Ezuruonye,Chiwetalu Agu,Pete Edochie,Nkem Owoh
What type of event is the Best of Nollywood Awards?,easy,Film industry award,Music festival,Film industry award,Literary award,Culinary competition
"Ini Edo, winner of Best Actress in 2009, was nominated for films in what language category?",medium,English,Yoruba,English,Hausa,Igbo
How many language versions of the 2009 Best of Nollywood Awards Wikipedia page are there?,hard,Two,Two,Three,Four,Five
Complete the statement: The 2009 Best of Nollywood Awards was held at _____ Hotel in Lagos.,medium,Martinos,Oriental,Four Points,Eko,Martinos
"Fill in the blank: Ramsey Nouah won the Best Actor category at the 2009 Best of Nollywood Awards, while _____ won Best Actress.",easy,Ini Edo,Ini Edo,Genevieve Nnaji,Omotola Jalade,Rita Dominic
Ramsey Nouah was one of how many nominees for Best Actor in a lead role in English in 2009?,hard,Five,Three,Four,Five,Six
The inaugural Best of Nollywood Awards in 2009 was specifically associated with which country's film industry?,easy,Nigeria,Ghana,South Africa,Nigeria,Kenya
The word 'embolise' refers to the function of what in human anatomy?,hard,Blood vessels,Heart,Lungs,Blood vessels,Brain
"In human anatomy, the femur is known as the?",easy,Longest bone,Longest bone,Smallest bone,Widest muscle,Thickest tendon
Identify the basic unit of the human nervous system.,medium,Neuron,Neuron,Nephron,Axon,Dendrite
Cheekbone is scientifically known as?,hard,Zygomatic bone,Zygomatic bone,Humerus,Ulna,Sternum
The term 'distal' refers to a location further from the center of the body. Which body part is distal to the elbow?,medium,Wrist,Wrist,Shoulder,Knee,Neck
Basic structural and functional unit of life is known as?,easy,Cell,Atom,Molecule,Cell,Organelle
Which molecule is “powerhouse of the cell”?,medium,Mitochondria,Mitochondria,Nucleus,Ribosome,Lysosome
Nollywood actor who has become a household name for his role in 'Living in Bondage'?,medium,Kenneth Okonkwo,Kenneth Okonkwo,Richard Mofe-Damijo,Ken Erics,Desmond Elliot
"In which film did Genevieve Nnaji play a significant role, earning her an international spotlight?",medium,Lionheart,Half of a Yellow Sun,Lionheart,30 Days,Blood Sisters
Complete the sentence: The traditional Yoruba talking drum is known as _____?,hard,Gangan,Gangan,Dundun,Ogene,Udu
Which artist is known for the album ‘African Giant?’,easy,Burna Boy,Wizkid,Burna Boy,Yemi Alade,Tiwa Savage
"Nigerian actress who starred in the Nollywood classic, ‘The Wedding Party’?",medium,Adesua Etomi,Sola Sobowale,Adesua Etomi,Ireti Doyle,Funke Akindele
________ is often referred to as the 'Father of Nollywood' for his role in creating Living in Bondage.,hard,Kenneth Nnebue,Okechukwu Ogunjiofor,Kenneth Nnebue,Ramsey Nouah,Pete Edochie
"The popular Nigerian Afrobeat musician popularly nicknamed 'Fela', is?",easy,Fela Anikulapo Kuti,Fela Anikulapo Kuti,D'banj,Femi Kuti,Bracket
What is the name of the Nollywood actress who became famous for her role in Jenifa?,easy,Funke Akindele,Kate Henshaw,Funke Akindele,Stella Damasus,Ngozi Ezeonu
"Heavily influenced by Afrobeat, Nigerian pop music is often referred to as?",medium,Afropop,Afropop,Highlife,Juju,Fuji
Who is the Nigerian musician known for the hit song 'Ojuelegba'?,easy,Wizkid,D'banj,Wizkid,Phyno,Timaya
What is the name of Fela Kuti's famous nightclub in Nigeria?,medium,The Shrine,The Shrine,The Republic,Afrobeat Haven,Kalakuta Kingdom
What name was given to the first full-length Nollywood movie produced in 1992?,hard,Living in Bondage,Living in Bondage,Glamour Girls,Violated,Ripples
"Nigerian singer known for her signature phrase, ‘It’s Don Jazzy Again’?",medium,Tiwa Savage,Simi,Tiwa Savage,Di'Ja,Asa
What title did the 2014 song by Nigerian star Timaya featuring Jamaican artist Sean Paul have?,easy,Bum Bum,Bum Bum,Shake It,Wine,Dancefloor
Nigerian actor famous for his role as ‘Pawpaw’ in the movie duo with 'Aki'?,easy,Osita Iheme,Chinedu Ikedieze,Osita Iheme,Desmond Elliot,Hanks Anuku
"Talented musician known for merging fuji and afrobeats with hits like ‘Position’, featuring Mr. Eazi?",medium,Joeboy,Rema,Fireboy DML,Joeboy,Ladipoe
The movie ‘October 1’ directed by Kunle Afolayan was an insight into what theme?,easy,Colonialism,Colonialism,Independence,Civil War,Niger-Delta Crisis
Which Nigerian king is credited for the establishment of the historical Oyo Empire?,hard,King Oranyan,King Shango,King Oranyan,King Kosoko,King Jaja
Which event does Nigeria commemorate on October 1st every year?,easy,Independence Day,Democracy Day,National Day of Mourning,Independence Day,Constitution Day
What is the significance of the Benin Moat in Nigeria's pre-colonial history?,medium,Defense Mechanism,Defense Mechanism,Royal Burial Site,Ancient Trading Post,Religious Site
"Known as the 'father of Nigeria', who was pivotal in forming the Nigerian Youth Movement?",hard,Herbert Macaulay,Anthony Enahoro,Obafemi Awolowo,Herbert Macaulay,Funmilayo Ransome-Kuti
During which era did the Sokoto Caliphate see significant influence over Nigerian area?,medium,Pre-colonial,Pre-colonial,Colonial,Post-colonial,Contemporary
