Question,Difficulty,Correct Answer,Option 1,Option 2,Option 3,Option 4
Which Nigerian leader was known for the 'War Against Indiscipline' campaign?,hard,B,Bola Tinubu,Sani Abacha,Muhammadu Buhari,Olusegun Obasanjo
Name the artist recognized for the song 'Dumebi' released in 2019.,medium,A,Rema,Fireboy DML,Joeboy,Omah Lay
Which major event took place in Nigeria in 1914?,hard,B,Independence,Unification of Nigeria,Civil War,Military coup
Identify the popular Nigerian TV series that features the character 'Jumoke'.,easy,B,Tinsel,Jenifa's Diary,The Johnsons,Gidi Up
In which year did the Nigerian military rule first begin?,medium,B,1960,1966,1975,1983
Which Nigerian artist's album 'Made in Lagos' features the hit song 'Essence'?,medium,B,Burna Boy,Wizkid,Davido,Olamide
Fill in the blank: The _______ is a type of connective tissue that connects muscles to bones.,easy,B,Ligament,Tendon,Cartilage,Adipose
Which Nigerian ethnic group is known for the annual Argungu Festival?,medium,B,Yoruba,Hausa,Igbo,Fulani
Who is the iconic Nigerian musician often referred to as 'The African Giant'?,easy,B,Wizkid,Burna Boy,2Baba,Davido
The _______ is the part of the human body responsible for producing insulin.,medium,A,Pancreas,Liver,Kidney,Spleen
Identify the Nigerian movie that won the Best International Feature Film at the 2021 Oscars.,hard,B,The Wedding Party,Lionheart,The Figurine,Omo Ghetto
The _______ is the muscle that contracts to allow breathing.,medium,A,Diaphragm,Intercostal muscles,Abdominal muscles,Pectoralis major
Which Nigerian leader was in power during the Lagos State Riots of 1975?,hard,A,General Gowon,General Obasanjo,General Abacha,General Buhari
Who is the Nigerian singer known for the song 'Joro' released in 2019?,medium,A,Wizkid,Davido,Olamide,Tekno
Fill in the blank: The _______ is the part of the eye responsible for controlling light entry.,easy,B,Cornea,Pupil,Lens,Retina
What was the primary reason for Nigeria's colonization by the British?,hard,B,Cultural exchange,Economic exploitation,Political alliance,Religious conversion
"Which Nigerian actress is known for her role in 'Konga', a popular Nigerian movie?",medium,A,Omotola Jalade-Ekeinde,Genevieve Nnaji,Rita Dominic,Funke Akindele
"In 1970, Nigeria was involved in a civil war known as the _______.",medium,A,Biafran War,Nigerian Revolution,Independence War,Civil Disobedience
Fill in the blank: The famous Nigerian actress known for her role in 'The Wedding Party' is _______.,medium,A,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic,Funke Akindele
The human body has how many pairs of ribs? _______,easy,B,10,12,14,16
Which Nigerian state was created in 1996 and is known for its rich cultural heritage? _______,hard,B,Ekiti,Bayelsa,Abuja,Enugu
"Known as the 'Queen of Afrobeat,' who is _______?",medium,A,Tiwa Savage,Yemi Alade,Simi,Waje
Which year did Nigeria become a republic? _______,medium,A,1963,1960,1979,1984
Fill in the blank: The Nollywood movie industry is ranked as the _______ largest in the world.,medium,A,third,second,fifth,fourth
How many chambers does the human heart have? _______,easy,C,2,3,4,5
The first military coup in Nigeria took place in _______.,medium,A,1966,1975,1983,1993
Who is the popular Nigerian singer behind the hit song 'Joro'? _______,medium,A,Wizkid,Burna Boy,Davido,Olamide
The human skeleton consists of how many bones? _______,easy,A,206,305,256,157
"In 1914, Nigeria was amalgamated into a single colony by _______.",hard,A,Lord Lugard,Sir Abubakar Tafawa Balewa,Obafemi Awolowo,Nnamdi Azikiwe
Identify the Nigerian actress who won an Academy Award for her role in '12 Years a Slave.' _______,hard,A,Lupita Nyong'o,Genevieve Nnaji,Rita Dominic,Omotola Jalade-Ekeinde
Which Nigerian city was formerly known as the capital of Nigeria before Abuja? _______,easy,A,Lagos,Ibadan,Kano,Port Harcourt
The popular Nigerian music genre that blends highlife and hip-hop is known as _______.,medium,A,Afrobeats,Makossa,Juju,Fuji
In what year did Nigeria's civil war end? _______,medium,A,1970,1969,1972,1975
Which Nigerian artist is known as 'The African Giant'? _______,medium,A,Burna Boy,Davido,Olamide,P-Square
The human body has how many pairs of cranial nerves? _______,medium,A,12,10,14,8
The military regime of General Sani Abacha lasted from 1993 to _______.,hard,A,1998,2000,1995,1996
The famous Nigerian dance called 'Shaku Shaku' is associated with which genre of music? _______,medium,A,Afrobeats,Hip-hop,Highlife,Reggae
What is the primary function of red blood cells? To _______.,easy,A,transport oxygen,fight infections,clot blood,produce hormones
Which Nigerian leader was the first to declare a state of emergency in Nigeria? _______,hard,A,General Gowon,General Buhari,General Abacha,General Murtala Mohammed
Fill in the blank: The popular Nigerian TV series 'Jenifa's Diary' stars _______.,medium,A,Funke Akindele,Adesua Etomi,Rita Dominic,Genevieve Nnaji
Nigeria's first military coup was led by Major Chukwuma Kaduna Nzeogwu in _______.,hard,A,1966,1975,1983,1990
The term 'Nollywood' refers to the film industry of _______.,easy,A,Nigeria,Ghana,South Africa,Kenya
What part of the eye controls the amount of light that enters? _______,medium,B,pupil,iris,cornea,lens
Which Nigerian poet is known for the poem 'Piano and Drums'? _______,hard,A,Gabriel Okara,Wole Soyinka,Chinua Achebe,Niyi Osundare
The popular Nigerian singer known for her song 'Middle of the Ocean' is _______.,medium,A,Tems,Simi,Yemi Alade,Tiwa Savage
The largest gland in the human body is the _______.,easy,A,liver,pancreas,thyroid,adrenal
Which Nigerian city is known as the 'Centre of Excellence'? _______,medium,A,Lagos,Ibadan,Abuja,Port Harcourt
Fill in the blank: The popular Nigerian dance competition show is called _______.,medium,B,Dance with Peter,Glo Dance with Peter,Dance All Night,Dance 100
In which year did Nigeria's first presidential election take place? _______,medium,C,1999,1993,1979,1985
The Nigerian artist known for the song 'If' is _______.,medium,A,Davido,Wizkid,Olamide,2Baba
The human body is composed of approximately how many cells? _______,hard,A,37 trillion,40 trillion,30 trillion,25 trillion
Who was the first woman to become a governor in Nigeria? _______,hard,A,Dame Virgy Etiaba,Ngozi Okonjo-Iweala,Gbemisola Saraki,Sarah Jibril
The Nigerian musician who popularized the song 'Ojuju Calabar' is _______.,medium,C,Flavour,P-Square,Timaya,Mr Eazi
What year did Nigeria's first military regime take power? _______,hard,A,1966,1975,1983,1990
Fill in the blank: The popular Nigerian comedy series 'The Johnsons' features a character named _______.,medium,A,Chuka,Dede,Bola,Jibola
Which Nigerian activist is known for the #BringBackOurGirls campaign? _______,hard,A,Aisha Yesufu,Bola Ahmed Tinubu,Wole Soyinka,Ngozi Okonjo-Iweala
The Nigerian singer known for her hit song 'Johnny' is _______.,medium,A,Yemi Alade,Tiwa Savage,Simi,Niniola
Fill in the blank: The _______ is responsible for detoxifying chemicals in the human body.,medium,B,heart,liver,kidney,spleen
Which Nigerian artist won the Grammy award in 2021?,hard,A,Burna Boy,Wizkid,Davido,Tiwa Savage
The largest internal organ in the human body is the _______.,medium,C,lungs,heart,liver,kidney
Who is famously known as the 'Queen of Afrobeats'?,medium,B,Yemi Alade,Tiwa Savage,Simi,Niniola
Which Nigerian actor starred in the movie '30 Days in Atlanta'?,medium,C,Jim Iyke,Desmond Elliot,Ayo Makun,Ramsey Nouah
Which organ in the human body is primarily responsible for breathing?,easy,A,lungs,heart,trachea,diaphragm
What was Nigeria's former name before independence?,hard,C,Niger Coast Protectorate,British Nigeria,Royal Niger Company,Nigeria Protectorate
Which Nigerian musician is known for his unique blend of Afrobeat and hip hop?,medium,D,Olamide,Phyno,Nasty C,Burna Boy
The human skeleton is primarily made of _______.,easy,C,muscle,cartilage,bone,tendons
What year was Nigeria's first democratic election held after military rule?,medium,A,1999,1993,2000,1995
Which organ in the human body is responsible for pumping blood?,easy,B,lungs,heart,kidney,liver
Which Nigerian artist is known for the hit song 'Essence' featuring Tems?,medium,C,Burna Boy,Olamide,Wizkid,Davido
The _______ is the part of the human body that helps in digestion.,easy,A,stomach,heart,lungs,kidney
Which Nollywood movie features the character 'Nkem Owoh'?,medium,A,Osuofia in London,The Wedding Party,Lionheart,Figurine
Which Nigerian leader is known for the economic reforms of the 1980s?,hard,C,Sani Abacha,Olusegun Obasanjo,Ibrahim Babangida,Umaru Musa Yar'Adua
Who created the popular TV series 'Tinsel'?,medium,A,Mimi Onalaja,Kemi Adetiba,Niyi Akinmolayan,Iyin Aboyeji
Which body part is responsible for hearing?,easy,A,ear,nose,eye,tongue
Who is the Nigerian comedian known for his role as 'Ayo' in 'Jennifer's Diary'?,medium,C,Ali Baba,Bovi,AY Makun,Frank Donga
Fill in the blank: The _______ helps in the absorption of nutrients in the human body.,medium,B,stomach,small intestine,liver,pancreas
What year did Nigeria's military coup take place that brought General Muhammadu Buhari to power?,hard,B,1985,1983,1990,1975
Which organ in the human body filters blood and produces urine?,easy,B,liver,kidney,gallbladder,bladder
Who is the Nigerian musician known as the 'African Giant'?,medium,B,Wizkid,Burna Boy,Davido,Olamide
The human body requires how many essential vitamins?,medium,B,10,13,8,15
When did Nigeria officially adopt the National Youth Service Corps (NYSC) program?,hard,A,1973,1975,1980,1985
Which part of the human body is primarily responsible for vision?,easy,A,eye,ear,nose,tongue
Fill in the blank: The _______ is regarded as Nigeria's national treasure in music.,easy,C,Piano,Guitar,Talking Drum,Flute
Who is known for the book 'Things Fall Apart'?,medium,A,Chinua Achebe,Wole Soyinka,Ben Okri,Flora Nwapa
Which organ is primarily responsible for detoxification in the human body?,easy,B,Kidney,Liver,Heart,Lungs
What significant event took place in Nigeria in October 1960?,medium,B,Civil War,Independence,Republic Declaration,Military Coup
Identify the Nigerian artist known for the song 'Juju Music'.,medium,B,Fela Kuti,King Sunny Ade,2Baba,D'banj
The human body's system responsible for movement is known as the _______.,easy,B,Nervous System,Muscular System,Digestive System,Circulatory System
Who is the first female governor in Nigeria?,hard,C,Ngozi Okonjo-Iweala,Amina Mohammed,Sonia M. Adesola,Oluremi Tinubu
Which Nigerian author was awarded the Nobel Prize in Literature in 1986?,hard,B,Chinua Achebe,Wole Soyinka,Niyi Osundare,Buchi Emecheta
Fill in the blank: The annual festival that celebrates the Osun River in Nigeria is called the _______ Festival.,medium,C,Durbar,Eyo,Osun-Osogbo,Carnival Calabar
Identify the famous Nigerian actress known for her role in 'The Wedding Party'.,medium,A,Genevieve Nnaji,Rita Dominic,Omotola Jalade-Ekeinde,Funke Akindele
Fill in the blank: The popular Nigerian film industry is known as _______.,easy,C,Bollywood,Hollywood,Nollywood,Kollywood
The famous Nigerian musician known for his fusion of Afrobeat is _______.,medium,B,David Adedeji Adeleke,Fela Kuti,Wizkid,Olamide
Fill in the blank: The _______ is the primary organ that filters blood in the human body.,easy,B,Liver,Kidney,Spleen,Pancreas
Identify the Nigerian singer known for the song 'Ojuelegba'.,medium,B,Tiwa Savage,Wizkid,P-Square,Burna Boy
Which part of the human body is protected by the ribcage?,easy,D,Lungs,Liver,Heart,All of the above
When did the Nigerian Civil War end?,hard,A,1970,1975,1980,1985
Fill in the blank: _______ is a popular Nigerian actress known for her philanthropic work.,medium,B,Genevieve Nnaji,Omotola Jalade-Ekeinde,Rita Dominic,Funke Akindele
The Nigerian artist known for his unique blend of traditional and contemporary music is _______.,medium,A,Femi Kuti,Davido,Yemi Alade,Kizz Daniel
Which part of the nervous system controls involuntary actions?,medium,B,Somatic Nervous System,Autonomic Nervous System,Central Nervous System,Peripheral Nervous System
Fill in the blank: The Nigerian musician known as the 'African Giant' is _______.,medium,A,Burna Boy,Wizkid,Davido,Olamide
What is the primary function of the large intestine in the human body?,easy,B,Absorb Nutrients,Store Waste,Digest Food,Produce Hormones
Which significant political event occurred in Nigeria in 1999?,medium,A,Return to Democracy,Civil War,Independence,Military Coup
Identify the Nigerian film that broke box office records in 2016. It is called _______.,medium,A,The Wedding Party,Lionheart,The Figurine,October 1
What is the primary function of white blood cells?,easy,B,Transport Oxygen,Fight Infection,Clot Blood,Regulate Temperature
Who was the leader of Nigeria during the Biafran War?,hard,A,Chukwuemeka Odumegwu Ojukwu,Yakubu Gowon,Olusegun Obasanjo,Muhammadu Buhari
Fill in the blank: The popular Nigerian singer known for 'If' is _______.,easy,B,Wizkid,Davido,Burna Boy,Olamide
What is the main function of the skin in human anatomy?,easy,D,Regulate Temperature,Protect Organs,Synthesize Vitamin D,All of the above
"Fill in the blank: The _______ is the body's largest muscle group, primarily involved in movement.",easy,A,Leg Muscles,Abdominals,Back Muscles,Arm Muscles
Which Nigerian historical figure authored the book 'A History of Nigeria'?,hard,D,Chinua Achebe,Wole Soyinka,Emeagwali Philip,Okwudiba Nnoli
Identify the famous Nigerian movie director known for 'The Figurine'.,medium,A,Kunle Afolayan,Tunde Kelani,Izu Ojukwu,Kemi Adetiba
What is the main purpose of the human skeletal system?,easy,D,Protection,Support,Movement,All of the above
Fill in the blank: The song 'Duduke' is performed by the Nigerian artist _______.,easy,A,Simi,Tiwa Savage,Yemi Alade,Teni
Which Nigerian civil war took place between 1967 and 1970?,medium,A,Biafran War,Nigerian-British War,Nigerian Civil Conflict,Independence War
Identify the organ responsible for filtering blood in the human body: _______.,easy,B,Liver,Kidneys,Heart,Lungs
The human body has how many pairs of ribs? Fill in the blank: _______ pairs.,easy,A,12,10,14,16
What city served as the capital of Nigeria before Abuja?,medium,A,Lagos,Kano,Ibadan,Port Harcourt
Who is known as the 'Queen of Nollywood'? Fill in the blank: _______.,medium,B,Omotola Jalade-Ekeinde,Genevieve Nnaji,Rita Dominic,Funke Akindele
The average adult human has how many teeth? Fill in the blank: _______ teeth.,easy,A,32,28,30,26
Which singer is famous for the song 'Joro'?,medium,C,Burna Boy,Tekno,Wizkid,Davido
Which Nigerian filmmaker is known for directing 'The Wedding Party'?,medium,A,Kemi Adetiba,Kunle Afolayan,Izu Ojukwu,Jade Osiberu
The brain is divided into how many main parts? Fill in the blank: _______ parts.,easy,B,3,4,2,5
Which historical event is marked by October 1st in Nigeria?,medium,B,Civil War,Independence Day,Democracy Day,Republic Day
Who won the Best African Act at the 2017 MTV Europe Music Awards?,medium,B,Burna Boy,Wizkid,Davido,Tiwa Savage
The heart pumps blood through how many chambers? Fill in the blank: _______ chambers.,easy,A,4,3,5,2
"The founding of Nigeria's first university, the University of Ibadan, took place in which year?",medium,A,1948,1962,1970,1980
Which Nigerian music genre is known for its fusion of traditional African rhythms and Western music?,medium,B,Highlife,Afrobeats,Fuji,Gospel
Identify the organ that produces insulin in the human body: _______.,easy,B,Liver,Pancreas,Kidneys,Spleen
Which actress played the lead role in the movie 'Fifty'?,medium,A,Nse Ikpe-Etim,Omoni Oboli,Adesua Etomi,Genevieve Nnaji
Fill in the blank: The _______ is a major organ in the human respiratory system.,easy,B,Heart,Lung,Liver,Kidney
The human body contains how many vertebrae? Fill in the blank: _______ vertebrae.,easy,A,33,24,26,30
Which organ is primarily responsible for producing bile in the human body? Fill in the blank: _______.,easy,B,Gallbladder,Liver,Pancreas,Stomach
What was the main outcome of the 1954 Lyttleton Constitution in Nigeria?,medium,A,Federalism,Independence,Civil Rights,Sovereignty
Which Nigerian singer is often referred to as 'Baba Nla'?,medium,B,Davido,Wizkid,Burna Boy,2Baba
Fill in the blank: The _______ is the central organ of the human nervous system.,easy,B,Spinal cord,Brain,Heart,Lungs
In what year did Nigeria's military government hand over power to a civilian government?,medium,A,1999,1985,1979,1993
The primary function of red blood cells in the human body is to transport _______.,easy,B,Nutrients,Oxygen,Waste,Hormones
Who is the first Nigerian to win a Grammy Award? Fill in the blank: _______.,medium,D,Burna Boy,Wizkid,2Baba,Sade Adu
The human skeletal system consists of how many bones? Fill in the blank: _______ bones.,easy,A,206,201,220,195
Identify the musician known for the hit song 'Ye'.,medium,B,Olamide,Burna Boy,Davido,Wizkid
The human digestive system starts at the _______.,easy,A,Mouth,Stomach,Esophagus,Small intestine
Which significant political event occurred in Nigeria in 2015?,medium,B,First military coup,Election of a new president,Return to civilian rule,Constitution amendment
"Fill in the blank: The _______ is a popular genre of music that originated in Nigeria, characterized by its upbeat tempo and rhythmic sounds.",medium,B,Jazz,Afrobeats,Rock,Reggae
The human body has how many lungs? Fill in the blank: _______ lungs.,easy,A,2,1,3,4
Who is the Nigerian artist behind the song 'Essence'?,medium,A,Wizkid,Tems,Burna Boy,Davido
In which Nigerian city is the Olumo Rock located?,medium,B,Ibadan,Abeokuta,Lagos,Kano
Which popular Nigerian singer is known for the song 'Ojuelegba'?,medium,A,Wizkid,Davido,Burna Boy,Olamide
Which Nigerian movie director is known for producing 'The Figurine'?,medium,A,Kunle Afolayan,Ishaya Bako,Toka McBaror,Kemi Adetiba
Fill in the blank: The _______ is responsible for carrying impulses in the nervous system.,easy,A,Neuron,Glial cell,Muscle cell,Erythrocyte
Which Nigerian leader was in power during the introduction of Structural Adjustment Program (SAP)?,medium,B,Sani Abacha,Ibrahim Babangida,Goodluck Jonathan,Umaru Musa Yar'Adua
Who is the Nigerian artist behind the hit single 'Joro'?,medium,B,Tiwa Savage,Wizkid,Patoranking,Olamide
The human body is made up of approximately _______ bones at adulthood.,easy,A,206,300,150,250
Fill in the blank: The famous Nigerian novel 'Things Fall Apart' was written by _______.,medium,A,Chinua Achebe,Wole Soyinka,Buchi Emecheta,Ben Okri
What was the main reason for the Biafran War in Nigeria?,medium,B,Religious differences,Ethnic tensions,Economic disparities,Political power struggle
Fill in the blank: The _______ system is responsible for the body's immune response.,medium,C,Nervous,Endocrine,Lymphatic,Circulatory
The human skeleton is divided into two major parts: the axial skeleton and the _______.,medium,A,Appendicular skeleton,Cranial skeleton,Postural skeleton,Peripheral skeleton
Fill in the blank: The Nigerian artist who popularized the 'Shaku Shaku' dance is _______.,medium,B,Olamide,Naira Marley,Davido,Wizkid
The Abacha regime in Nigeria is known for its _______ rule.,hard,B,Democratic,Military,Monarchical,Colonial
What genre of music is Burna Boy primarily known for?,medium,A,Afrobeats,Jazz,Rock,Classical
Which Nigerian state is known for the famous Argungu Festival?,medium,B,Kano,Sokoto,Kogi,Kaduna
The function of the pancreas is to produce _______.,medium,A,Insulin,Cortisol,Adrenaline,Hemoglobin
Fill in the blank: The Nigerian singer known for his philanthropic work is _______.,medium,A,Davido,Wizkid,Burna Boy,Olamide
Which Nigerian event celebrates the country's independence?,easy,C,Eid-el-Fitr,Christmas,Independence Day,Easter
Fill in the blank: The popular Nigerian series 'The Johnsons' is a _______ sitcom.,easy,C,Drama,Reality,Comedy,Thriller
Which Nigerian author won the Nobel Prize in Literature?,hard,B,Chinua Achebe,Wole Soyinka,Ben Okri,Flora Nwapa
The primary role of the spleen is to _______.,medium,A,Produce lymphocytes,Store bile,Filter air,Regulate blood pressure
Which year did Nigeria's first military coup take place?,hard,B,1960,1966,1975,1983
Fill in the blank: The Nigerian dance 'Azonto' originated from _______.,medium,A,Ghana,Nigeria,South Africa,Kenya
The part of the human body that connects muscles to bones is called a _______.,medium,B,Ligament,Tendon,Cartilage,Joint
Which Nigerian king is known for his role during the British colonization?,hard,C,Oba of Lagos,Ooni of Ife,Alaafin of Oyo,Emir of Kano
Fill in the blank: The _______ is known for its unique masquerade festival that attracts tourists.,medium,B,Oyo State,Anambra State,Enugu State,Lagos State
Fill in the blank: The city of _______ is renowned for its historical significance and the ancient Benin Kingdom.,medium,B,Lagos,Benin City,Calabar,Ibadan
The organ responsible for detoxifying chemicals in the human body is the _______.,easy,B,Heart,Liver,Kidney,Lungs
Which Nigerian state was created in 1996 from the former Kwara State?,hard,A,Ekiti,Osun,Gombe,Kogi
Fill in the blank: The _______ is a popular Nigerian dish made from fermented and dried locust beans.,medium,C,Egusi,Ogbono,Iru,Pounded Yam
Which musician is known for the phrase 'African Giant'?,medium,B,Wizkid,Burna Boy,Davido,Phyno
Who directed the popular Nigerian film 'Half of a Yellow Sun'?,hard,B,Chimamanda Ngozi Adichie,Biyi Bandele,Kunle Afolayan,Tunde Kelani
Fill in the blank: The traditional Igbo festival of New Yam celebrates the _______.,medium,A,Harvest,Planting,New Year,Marriage
Which Nigerian actor is famous for his role in the series 'Tinsel'?,easy,A,Richard Mofe-Damijo,Jim Iyke,Ramsey Nouah,Desmond Elliot
Which Nigerian state is known as the 'Home of Peace and Tourism'?,medium,D,Kaduna,Benue,Bauchi,Cross River
Fill in the blank: The popular Nigerian dish 'Jollof Rice' is often accompanied by _______.,easy,A,Fried Plantain,Pounded Yam,Egusi Soup,Okra Soup
Which Nigerian city was the site of the first Lagos Carnival?,easy,A,Lagos,Calabar,Ibadan,Port Harcourt
Fill in the blank: The Nigerian currency is known as the _______.,easy,C,Dollar,Pound,Naira,Euro
The primary role of platelets in the human body is to _______.,easy,C,Transport oxygen,Fight infection,Clot blood,Digest food
Who is the singer of the song 'If' released in 2017?,medium,B,Wizkid,Davido,Olamide,Tekno
The primary function of the kidney is to _______.,easy,B,Regulate blood pressure,Filter blood,Produce hormones,Digest food
Fill in the blank: The popular Nigerian comedy series 'The Johnsons' features a family of _______.,medium,C,Doctors,Lawyers,Comedians,Teachers
The average adult human has how many bones?,easy,A,206,208,210,212
Fill in the blank: The popular Nigerian actress known for her role in 'The Figurine' is _______.,medium,B,Rita Dominic,Genevieve Nnaji,Omotola Jalade-Ekeinde,Ada Ameh
The human body’s largest internal organ is the _______.,easy,B,Heart,Liver,Lungs,Kidney
In which year did Nigeria’s first military coup take place?,hard,B,1960,1966,1970,1983
The process of breaking down food in the human body is known as _______.,easy,B,Absorption,Digestion,Circulation,Respiration
Who is the Nigerian singer that featured on Beyoncé's album 'The Lion King: The Gift'?,medium,C,Davido,Wizkid,Burna Boy,Tiwa Savage
The primary function of the pancreas is to _______.,easy,A,Produce insulin,Filter blood,Regulate body temperature,Digest food
Fill in the blank: The famous Nigerian festival 'Calabar Carnival' is held annually in _______.,medium,B,Lagos,Calabar,Enugu,Port Harcourt
Fill in the blank: The Nigerian film 'Lionheart' was directed by _______.,hard,B,Kunle Afolayan,Genevieve Nnaji,Izu Ojukwu,Tunde Kelani
The part of the brain responsible for regulating temperature is the _______.,medium,B,Cerebellum,Hypothalamus,Medulla Oblongata,Thalamus
The largest muscle in the human body is known as the _______.,medium,C,Biceps,Quadriceps,Gluteus Maximus,Deltoid
Who was the first Nigerian to win the Nobel Prize for Literature?,hard,B,Chinua Achebe,Wole Soyinka,Ben Okri,Flora Nwapa
Which popular Nigerian artist was known for the song 'Soco'?,easy,A,Wizkid,Davido,Burna Boy,Olamide
"The skin is primarily composed of three layers: the epidermis, dermis, and _______.",medium,A,Subcutaneous layer,Hypodermis,Basal layer,Epidermal layer
Complete the statement: The _______ is considered the main source of protein in many Nigerian diets.,medium,D,Rice,Beans,Yam,Fish
Which part of the human body contains the largest number of bones?,medium,C,Skull,Hands,Feet,Spine
Fill in the blank: The Nigerian movie industry is popularly referred to as _______.,easy,C,Bollywood,Hollywood,Nollywood,Ghollywood
The functional unit of the kidney is known as _______.,medium,A,Nephron,Glomerulus,Urethra,Renal Cortex
Which artist is known as the 'African Giant' in the music industry?,medium,B,Wizkid,Burna Boy,Davido,Tekno
Fill in the blank: The famous Nigerian film 'The Wedding Party' was released in _______.,easy,A,2016,2018,2015,2019
The _______ is a vital organ that filters blood to produce urine.,medium,C,Liver,Heart,Kidney,Pancreas
Which Nigerian singer is known for blending Afrobeat with hip-hop in her music?,medium,A,Tiwa Savage,Yemi Alade,Simi,Niniola
The human respiratory system primarily includes the lungs and _______.,medium,B,Heart,Trachea,Bronchi,Diaphragm
Complete the statement: The popular Nigerian TV series 'Tinsel' is based on the _______ industry.,easy,C,Agricultural,Cultural,Entertainment,Fashion
The vertebrae are part of which system in the human body?,medium,B,Circulatory,Skeletal,Muscular,Nervous
Fill in the blank: The Nigerian National Anthem was first adopted in _______.,hard,B,1978,1960,1979,1986
Which Nigerian artist is known for his song 'On the Low'?,medium,B,Davido,Burna Boy,Olamide,Patoranking
The human body's largest artery is known as the _______.,easy,B,Vein,Aorta,Pulmonary Artery,Coronary Artery
Which Nigerian leader was known for his anti-corruption stance and was assassinated in 1998?,hard,D,Sani Abacha,Abdulsalami Abubakar,Olusegun Obasanjo,Moshood Abiola
Complete the statement: The song 'If' by Davido became a hit in _______.,medium,A,2016,2015,2017,2018
Which historical event led to the establishment of the Lagos Colony?,hard,B,The Berlin Conference,The Scramble for Africa,The abolition of slavery,The Amalgamation of 1914
Which actor starred in the movie '30 Days in Atlanta'?,easy,B,Ramsey Nouah,Ayo Makun,Desmond Elliot,Jim Iyke
Fill in the blank: The main function of the liver is to produce _______.,medium,B,Hormones,Bile,Insulin,Enzymes
Who is known for the song 'Johnny' that became a viral hit?,medium,A,Yemi Alade,Tiwa Savage,Simi,Waje
The primary function of the small intestine is the _______ of nutrients.,medium,A,Absorption,Digestion,Filtration,Secretion
Which critical document was Nigeria forced to adopt following colonial rule?,hard,B,The 1979 Constitution,The 1963 Constitution,The 1999 Constitution,The 1954 Constitution
Fill in the blank: The Nigerian singer who collaborated with Beyoncé on the song 'Brown Skin Girl' is _______.,medium,A,Wizkid,Davido,Burna Boy,Yemi Alade
The human skeletal system is primarily composed of _______ bones.,easy,A,206,150,300,250
Which Nigerian independence activist was also known as the 'Lion of Bourdillon'?,hard,B,Nnamdi Azikiwe,Obafemi Awolowo,Ahmadu Bello,Wole Soyinka
The part of the ear responsible for balance is the _______.,medium,C,Cochlea,Auditory Canal,Semicircular Canals,Tympanic Membrane
What was the name of the first military coup leader in Nigeria?,hard,C,Yakubu Gowon,Muhammadu Buhari,Johnson Aguiyi-Ironsi,Ibrahim Babangida
Which popular Nigerian musician is known for his unique blend of reggae and dancehall?,medium,B,Timaya,Patoranking,Wizkid,Olamide
The primary role of the pancreas in the human body is to produce _______.,medium,B,Bile,Insulin,Gastric Juice,Blood
In which year was Nigeria's first television station established?,hard,A,1959,1960,1962,1965
Fill in the blank: The _______ War took place between 1967 and 1970 in Nigeria.,medium,B,Civil,Biafran,Nigerian,Eagle
Who directed the acclaimed movie 'The Wedding Party'?,medium,A,Kemi Adetiba,Kunle Afolayan,Jadesola Osiberu,Ishaya Bako
What part of the body is primarily responsible for breathing?,easy,B,Heart,Lungs,Kidneys,Diaphragm
Fill in the blank: The Nollywood film industry is known for producing _______ films.,medium,B,Hollywood,Low-budget,High-quality,Short
Who is the creator of the popular Nigerian series 'The Johnsons'?,hard,A,Chimezie Imo,Tolu Ogunlesi,Hugo Weaving,Jibola Dabo
What year did Nigeria's first military coup occur?,medium,B,1960,1966,1970,1975
Which genre of music is Fela Kuti famous for?,easy,B,Hip-hop,Afrobeat,Jazz,R&B
Which Nigerian civil rights activist was known for her role in the anti-SARS protests?,hard,A,Aisha Yesufu,Funmilayo Ransome-Kuti,Ngozi Okonjo-Iweala,Wangari Maathai
Fill in the blank: The _______ is the primary structure responsible for pumping blood in the human body.,easy,B,Veins,Heart,Arteries,Capillaries
Which major Nigerian festival celebrates the New Yam?,medium,C,Eyo Festival,Osun-Osogbo,Ibo New Year,Eid el-Fitr
Which Nigerian musician is known for the statement 'This is Nigeria'?,medium,A,Burna Boy,Olamide,Nasty C,Wizkid
Fill in the blank: The __________ is the largest part of the brain.,easy,B,Cerebellum,Cerebrum,Brainstem,Hypothalamus
What is the main genre of music associated with the artist Simi?,medium,C,Reggae,Afrobeat,Pop,Jazz
Which part of the human anatomy produces hormones that regulate metabolism?,easy,A,Thyroid gland,Adrenal gland,Pituitary gland,Pancreas
Which actress starred in the film 'Lionheart'?,medium,B,Adesua Etomi,Genevieve Nnaji,Omotola Jalade-Ekeinde,Ini Edo
What is the capital city of Nigeria's Benue State?,medium,A,Makurdi,Gboko,Otukpo,Adikpo
"Which landmark event took place on October 1, 1960, in Nigeria?",medium,B,Republic Declaration,Independence Day,Civil War Start,Military Coup
Fill in the blank: The popular Nigerian series 'Jungle Justice' addresses themes of _______.,medium,C,Corruption,Crime,Justice,Politics
Which Nigerian President was overthrown in a coup in 1993?,hard,C,Olusegun Obasanjo,Sani Abacha,Ibrahim Babangida,Muhammadu Buhari
Who is the Nigerian artist that won the Grammy Award in 2021?,medium,A,Burna Boy,Wizkid,Davido,Tiwa Savage
Fill in the blank: The _______ is the protective outer layer of the human skin.,easy,A,Epidermis,Dermis,Hypodermis,Subcutaneous
